,Coefficient
AdultWeekday,19.307037710525474
vertical_drop,2.3752040085375565
daysOpenLastYear,1.2803119848203801
trams,1.2323207352528176
quad,1.2151282798681553
triple,1.1803795376864865
surface,1.1581197507603673
fastQuads,0.9802498644073434
Snow Making_ac,0.9793259253635939
Runs,0.976542032171324
fastSixes,0.948476296088854
averageSnowfall,0.8621882196007664
projectedDaysOpen,0.7333071180794803
total_chairs,0.7104682374198369
NightSkiing_ac,0.6197482046810115
double,0.5133294973178272
TerrainParks,0.4077825278261788
SkiableTerrain_ac,0.39589370687318565
fastEight,0.2780615026596833
yearsOpen,0.27781727090528074
LongestRun_mi,0.21602258381022976
EVS,0.87
MAE,6.47
